Brand,Item Number,Item Name,Warehouse,On Hand,Available,Reserved,In Transit,On Sales Order,On Purchase Order
,001 FP 2000 F gold Rondo 4014519270386,Lamy 001 FP 2000 F gold Rondo 4014519270386,Default Ridgefield,31,31,0,0,0,0
,001 FP 2000 F gold Rondo 4014519270386,Lamy 001 FP 2000 F gold Rondo 4014519270386,FBALYB Amazon,11,11,0,0,0,0
,012 FP vista EF T10bl Rondo  4014519276173,012 FP vista EF T10bl Rondo  4014519276173,Default Ridgefield,274,274,0,0,0,0
,012 FP vista EF T10bl Rondo  4014519276173,012 FP vista EF T10bl Rondo  4014519276173,FBALYB Amazon,-7,-7,0,0,0,0
,012 FP vista EF T10bl Rondo  4014519276173,012 FP vista EF T10bl Rondo  4014519276173,FBALYB Canada,-1,-1,0,0,0,0
,012 FP vista F T10bl Rondo  4014519276203,012 FP vista F T10bl Rondo  4014519276203,Default Ridgefield,260,260,0,0,0,0
,012 FP vista F T10bl Rondo  4014519276203,012 FP vista F T10bl Rondo  4014519276203,FBALYB Amazon,76,71,5,3,5,0
,012 FP vista M T10bl Rondo  4014519276234,012 FP vista M T10bl Rondo  4014519276234,FBALYB Amazon,-2,-2,0,0,0,0
,013 FP safari green M T10bl Rondo  4014519661566,013 FP safari green M T10bl Rondo  4014519661566,FBALYB Amazon,-2,-2,0,0,0,0
,014 FP safari blue F T10bl Rondo  4014519273684,014 FP safari blue F T10bl Rondo  4014519273684,Default Ridgefield,140,140,0,0,0,0
,014 FP safari blue F T10bl Rondo  4014519273684,014 FP safari blue F T10bl Rondo  4014519273684,FBALYB Amazon,-72,-72,0,51,0,0
,"015 FP joy black 1,1 T10bl E112  4014519651116","015 FP joy black 1,1 T10bl E112  4014519651116",FBALYB Amazon,-5,-5,0,0,0,0
,016 FP safari red F T10bl Rondo  4014519272298,016 FP safari red F T10bl Rondo  4014519272298,FBALYB Amazon,-11,-12,1,52,1,0
,016 FP safari red M T10bl Rondo  4014519272328,016 FP safari red M T10bl Rondo  4014519272328,FBALYB Amazon,48,48,0,0,0,0
,017 FP safari umbra EF T10bl Rondo  4014519271024,017 FP safari umbra EF T10bl Rondo  4014519271024,Default,0,-200,200,0,0,0
,017 FP safari umbra EF T10bl Rondo  4014519271024,017 FP safari umbra EF T10bl Rondo  4014519271024,Default Ridgefield,401,401,0,0,0,0
,017 FP safari umbra EF T10bl Rondo  4014519271024,017 FP safari umbra EF T10bl Rondo  4014519271024,FBALYB Amazon,292,289,3,0,3,0
,017 FP safari umbra F T10bl Rondo  4014519271055,017 FP safari umbra F T10bl Rondo  4014519271055,Default,0,-5005,5005,0,0,0
,017 FP safari umbra F T10bl Rondo  4014519271055,017 FP safari umbra F T10bl Rondo  4014519271055,Default Ridgefield,50,50,0,0,0,0
,017 FP safari umbra F T10bl Rondo  4014519271055,017 FP safari umbra F T10bl Rondo  4014519271055,FBALYB Amazon,-76,-77,1,9,1,0
,017 FP safari umbra M T10bl Rondo  4014519270997,017 FP safari umbra M T10bl Rondo  4014519270997,Default,0,-50,50,0,0,0
,017 FP safari umbra M T10bl Rondo  4014519270997,017 FP safari umbra M T10bl Rondo  4014519270997,Default Ridgefield,600,600,0,0,0,0
,017 FP safari umbra M T10bl Rondo  4014519270997,017 FP safari umbra M T10bl Rondo  4014519270997,FBALYB Amazon,-4,-5,1,0,1,0
,018 FP safari yellow F T10bl Rondo  4014519273073,018 FP safari yellow F T10bl Rondo  4014519273073,Default Ridgefield,300,300,0,0,0,0
,018 FP safari yellow F T10bl Rondo  4014519273073,018 FP safari yellow F T10bl Rondo  4014519273073,FBALYB Amazon,81,71,10,2,10,0
,018 FP safari yellow M T10bl Rondo  4014519273103,018 FP safari yellow M T10bl Rondo  4014519273103,Default,0,-80,80,0,0,0
,018 FP safari yellow M T10bl Rondo  4014519273103,018 FP safari yellow M T10bl Rondo  4014519273103,Default Ridgefield,140,140,0,0,0,0
,019 FP safari black F T10bl Rondo  4014519279334,019 FP safari black F T10bl Rondo  4014519279334,Default Ridgefield,164,164,0,0,0,0
,019 FP safari black F T10bl Rondo  4014519279334,019 FP safari black F T10bl Rondo  4014519279334,FBALYB Amazon,6,4,2,0,2,0
,019 FP safari black M T10bl Rondo  4014519279372,019 FP safari black M T10bl Rondo  4014519279372,Default,0,-40,40,0,0,0
,019 FP safari white EF T10bl Rondo  4014519282419,019 FP safari white EF T10bl Rondo  4014519282419,FBALYB Amazon,-4,-4,0,0,0,0
,019 FP safari white F T10bl Rondo  4014519279273,019 FP safari white F T10bl Rondo  4014519279273,Default Ridgefield,451,451,0,0,0,0
,019 FP safari white F T10bl Rondo  4014519279273,019 FP safari white F T10bl Rondo  4014519279273,FBALYB Amazon,114,111,3,19,3,0
,019 FP safari white M T10bl Rondo  4014519279303,019 FP safari white M T10bl Rondo  4014519279303,Default,0,-30,30,0,0,0
,019 FP safari white M T10bl Rondo  4014519279303,019 FP safari white M T10bl Rondo  4014519279303,Default Ridgefield,410,349,61,0,0,0
,019 FP safari white M T10bl Rondo  4014519279303,019 FP safari white M T10bl Rondo  4014519279303,FBALYB Amazon,-1,-2,1,0,1,0
,026 FP AL-star graphite F T10bl Rondo  4014519280293,026 FP AL-star graphite F T10bl Rondo  4014519280293,Default Ridgefield,146,146,0,0,0,0
,026 FP AL-star graphite M T10bl Rondo  4014519280323,026 FP AL-star graphite M T10bl Rondo  4014519280323,Default Ridgefield,161,161,0,0,0,0
,028 FP AL-star oceanblue EF T10bl Rondo  4014519279976,028 FP AL-star oceanblue EF T10bl Rondo  4014519279976,Default Ridgefield,50,50,0,0,0,0
,028 FP AL-star oceanblue EF T10bl Rondo  4014519279976,028 FP AL-star oceanblue EF T10bl Rondo  4014519279976,FBALYB Amazon,-8,-8,0,1,0,0
,028 FP AL-star oceanblue F T10bl Rondo  4014519279754,028 FP AL-star oceanblue F T10bl Rondo  4014519279754,Default,0,-50,50,0,0,0
,028 FP AL-star oceanblue F T10bl Rondo  4014519279754,028 FP AL-star oceanblue F T10bl Rondo  4014519279754,FBALYB Amazon,35,35,0,0,0,0
,028 FP AL-star oceanblue M T10bl Rondo  4014519279785,028 FP AL-star oceanblue M T10bl Rondo  4014519279785,FBALYB Amazon,-2,-2,0,0,0,0
,029 FP AL-star black purple F T10bl Rondo  4014519282167,029 FP AL-star black purple F T10bl Rondo  4014519282167,Default Ridgefield,710,710,0,0,0,0
,029 FP AL-star black purple F T10bl Rondo  4014519282167,029 FP AL-star black purple F T10bl Rondo  4014519282167,FBALYB Amazon,196,196,0,0,0,0
,032 FP AL-star bluegreen EF T10bl Rondo  4014519669913,032 FP AL-star bluegreen EF T10bl Rondo  4014519669913,FBALYB Amazon,-2,-3,1,0,1,0
,032 FP AL-star bluegreen F T10bl Rondo  4014519669937,032 FP AL-star bluegreen F T10bl Rondo  4014519669937,FBALYB Amazon,-2,-2,0,1,0,0
,057 FP Lx Ru F T10bl E2204014519676096,057 FP Lx Ru F T10bl E2204014519676096,Default Ridgefield,55,55,0,0,0,0
,057 FP Lx Ru F T10bl E2204014519676096,057 FP Lx Ru F T10bl E2204014519676096,FBALYB Amazon,-7,-7,0,0,0,0
,060 FP imporium BlkAu M gold +T10bl E182,060 FP imporium BlkAu M gold +T10bl E182,Default Ridgefield,45,45,0,0,0,0
,065 FP studio brushed EF +T10bl Rondo  4014519277002,065 FP studio brushed EF +T10bl Rondo  4014519277002,FBALYB Amazon,3,3,0,0,0,0
,067 FP studio black F +T10bl Rondo  4014519277347,067 FP studio black F +T10bl Rondo  4014519277347,FBALYB Amazon,-1,-1,0,0,0,0
,067 FP studio imperialblue EF +T10bl Rondo  4014519283942,067 FP studio imperialblue EF +T10bl Rondo  4014519283942,FBALYB Amazon,-2,-2,0,0,0,0
,067 FP studio imperialblue F +T10bl Rondo  4014519283973,067 FP studio imperialblue F +T10bl Rondo  4014519283973,Default Ridgefield,90,90,0,0,0,0
,067 FP studio imperialblue F +T10bl Rondo  4014519283973,067 FP studio imperialblue F +T10bl Rondo  4014519283973,FBALYB Amazon,21,21,0,1,0,0
,071 FP AL-star black F T10bl Rondo  4014519286493,071 FP AL-star black F T10bl Rondo  4014519286493,FBALYB Amazon,-7,-7,0,2,0,0
,076 FP Lx RAu EF T10bl E2184014519676218,076 FP Lx RAu EF T10bl E2184014519676218,FBALYB Amazon,13,13,0,0,0,0
,076 FP Lx RAu F T10bl E2184014519676225,076 FP Lx RAu F T10bl E2184014519676225,Default Ridgefield,50,50,0,0,0,0
,076 FP Lx RAu F T10bl E2184014519676225,076 FP Lx RAu F T10bl E2184014519676225,FBALYB Amazon,1,1,0,0,0,0
,0D-ANG7-AOZQ,Beggin' Strips Bacon - 3lbs (48 oz),FBALYB Amazon,-32,-32,0,37,0,0
,10001-001M10W12 CrocsClassic Clog CLR- Black/841158002474 Size M10 W12,10001-001M10W12 CrocsClassic Clog CLR- Black/841158002474 Size M10 W12,Default Ridgefield,10,10,0,0,0,0
,10001-001M10W12 CrocsClassic Clog CLR- Black/841158002474 Size M10 W12,10001-001M10W12 CrocsClassic Clog CLR- Black/841158002474 Size M10 W12,FBALYB Amazon,-72,-72,0,3,0,0
,10001-001M11 CrocsClassic Clog CLR- Black/841158002481 Size M11 W13,10001-001M11 CrocsClassic Clog CLR- Black/841158002481 Size M11 W13,Default Ridgefield,1,1,0,0,0,0
,10001-001M11 CrocsClassic Clog CLR- Black/841158002481 Size M11 W13,10001-001M11 CrocsClassic Clog CLR- Black/841158002481 Size M11 W13,FBALYB Amazon,-17,-18,1,0,1,0
,10001-001M12 CrocsClassic Clog CLR- Black/841158002498 Size M12 W14,10001-001M12 CrocsClassic Clog CLR- Black/841158002498 Size M12 W14,Default Ridgefield,6,6,0,0,0,0
,10001-001M12 CrocsClassic Clog CLR- Black/841158002498 Size M12 W14,10001-001M12 CrocsClassic Clog CLR- Black/841158002498 Size M12 W14,FBALYB Amazon,-8,-8,0,0,0,0
,10001-001M4W6 CrocsClassic Clog CLR- Black/841158002412 Size M4 W6,10001-001M4W6 CrocsClassic Clog CLR- Black/841158002412 Size M4 W6,Default Ridgefield,1,1,0,0,0,0
,10001-001M4W6 CrocsClassic Clog CLR- Black/841158002412 Size M4 W6,10001-001M4W6 CrocsClassic Clog CLR- Black/841158002412 Size M4 W6,FBALYB Amazon,-21,-24,3,0,3,0
,10001-001M5W7 CrocsClassic Clog CLR- Black/841158002429 Size M5 W7,10001-001M5W7 CrocsClassic Clog CLR- Black/841158002429 Size M5 W7,Default Ridgefield,1,0,1,0,0,0
,10001-001M5W7 CrocsClassic Clog CLR- Black/841158002429 Size M5 W7,10001-001M5W7 CrocsClassic Clog CLR- Black/841158002429 Size M5 W7,FBALYB Amazon,-256,-283,27,210,27,0
,10001-001M6W8 CrocsClassic Clog CLR- Black/841158002436 Size M6 W8,10001-001M6W8 CrocsClassic Clog CLR- Black/841158002436 Size M6 W8,Default Ridgefield,10,8,2,0,0,0
,10001-001M6W8 CrocsClassic Clog CLR- Black/841158002436 Size M6 W8,10001-001M6W8 CrocsClassic Clog CLR- Black/841158002436 Size M6 W8,FBALYB Amazon,-82,-102,20,11,20,0
,10001-001M7W9 CrocsClassic Clog CLR- Black/841158002443 Size M7 W9,10001-001M7W9 CrocsClassic Clog CLR- Black/841158002443 Size M7 W9,FBALYB Amazon,-29,-29,0,2,0,0
,10001-001M8W10 CrocsClassic Clog CLR- Black/841158002450 Size M8 W10,10001-001M8W10 CrocsClassic Clog CLR- Black/841158002450 Size M8 W10,Default Ridgefield,3,3,0,0,0,0
,10001-001M8W10 CrocsClassic Clog CLR- Black/841158002450 Size M8 W10,10001-001M8W10 CrocsClassic Clog CLR- Black/841158002450 Size M8 W10,FBALYB Amazon,-86,-90,4,31,4,0
,10001-001M9W11 CrocsClassic Clog CLR- Black/841158002467 Size M9 W11,10001-001M9W11 CrocsClassic Clog CLR- Black/841158002467 Size M9 W11,Default Ridgefield,7,7,0,0,0,0
,10001-001M9W11 CrocsClassic Clog CLR- Black/841158002467 Size M9 W11,10001-001M9W11 CrocsClassic Clog CLR- Black/841158002467 Size M9 W11,FBALYB Amazon,-18,-18,0,0,0,0
,10001-0DAM10W12 CrocsClassic Clog CLR- Slate Grey/191448101661 Size M10 W12,10001-0DAM10W12 CrocsClassic Clog CLR- Slate Grey/191448101661 Size M10 W12,FBALYB Amazon,111,68,43,36,43,0
,10001-0DAM11 CrocsClassic Clog CLR- Slate Grey/191448101678 Size M11 W13,10001-0DAM11 CrocsClassic Clog CLR- Slate Grey/191448101678 Size M11 W13,Default Ridgefield,5,5,0,0,0,0
,10001-0DAM11 CrocsClassic Clog CLR- Slate Grey/191448101678 Size M11 W13,10001-0DAM11 CrocsClassic Clog CLR- Slate Grey/191448101678 Size M11 W13,FBALYB Amazon,-36,-36,0,36,0,0
,10001-0DAM12 CrocsClassic Clog CLR- Slate Grey/191448101685 M12 W14,10001-0DAM12 CrocsClassic Clog CLR- Slate Grey/191448101685 M12 W14,FBALYB Amazon,-5,-5,0,0,0,0
,10001-0DAM4W6 CrocsClassic Clog CLR- Slate Grey/191448101746 Size M4 W6,10001-0DAM4W6 CrocsClassic Clog CLR- Slate Grey/191448101746 Size M4 W6,FBALYB Amazon,-5,-6,1,0,1,0
,10001-0DAM5W7 CrocsClassic Clog CLR- Slate Grey/191448101753 Size M5 W7,10001-0DAM5W7 CrocsClassic Clog CLR- Slate Grey/191448101753 Size M5 W7,FBALYB Amazon,241,225,16,0,16,0
,10001-0DAM6W8 CrocsClassic Clog CLR- Slate Grey/191448101760 Size M6 W8,10001-0DAM6W8 CrocsClassic Clog CLR- Slate Grey/191448101760 Size M6 W8,FBALYB Amazon,333,305,28,79,28,0
,10001-0DAM7W9 CrocsClassic Clog CLR- Slate Grey/191448101777 Size M7 W9,10001-0DAM7W9 CrocsClassic Clog CLR- Slate Grey/191448101777 Size M7 W9,FBALYB Amazon,158,139,19,72,19,0
,10001-0DAM8W10 CrocsClassic Clog CLR- Slate Grey/191448101784 Size M8 W10,10001-0DAM8W10 CrocsClassic Clog CLR- Slate Grey/191448101784 Size M8 W10,FBALYB Amazon,106,98,8,0,8,0
,10001-0DAM9W11 CrocsClassic Clog CLR- Slate Grey/191448101791 Size M9 W11,10001-0DAM9W11 CrocsClassic Clog CLR- Slate Grey/191448101791 Size M9 W11,Default Ridgefield,1,1,0,0,0,0
,10001-0DAM9W11 CrocsClassic Clog CLR- Slate Grey/191448101791 Size M9 W11,10001-0DAM9W11 CrocsClassic Clog CLR- Slate Grey/191448101791 Size M9 W11,FBALYB Amazon,-61,-73,12,71,12,0
,10001-100M10W12 CrocsClassic Clog CLR- White/883503185661 Size M10 W12,10001-100M10W12 CrocsClassic Clog CLR- White/883503185661 Size M10 W12,Default Ridgefield,1,1,0,0,0,0
,10001-100M10W12 CrocsClassic Clog CLR- White/883503185661 Size M10 W12,10001-100M10W12 CrocsClassic Clog CLR- White/883503185661 Size M10 W12,FBALYB Amazon,80,56,24,4,24,0
,10001-100M11 CrocsClassic Clog CLR- White/883503185678 Size M11 W13,10001-100M11 CrocsClassic Clog CLR- White/883503185678 Size M11 W13,FBALYB Amazon,-11,-11,0,0,0,0
,10001-100M12 CrocsClassic Clog CLR- White/883503185685 Size M12 W14,10001-100M12 CrocsClassic Clog CLR- White/883503185685 Size M12 W14,FBALYB Amazon,-6,-6,0,0,0,0
